id,venue_id,name,logo_url
1335,1,Special Event: John Leguizamo,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1216/original/John-Leg-SE.jpg?1418824971
1311,1,Helium Presents: Dov Davidoff,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1438/original/Dov_Davidoff_SE.jpg?1419349000
20,1,Monday Madness Starring GUY TORRY!,
21,1,Monday Madness Starring MARK VIERA!,
22,1,Monday Madness starring ALYCIA COOPER!,
23,1,Last Laugh Comedy Series Presents...Holiday HaHa!,
24,1,Monday Madness Starring DAMON WILLIAMS!,
26,1,Monday Madness Starring Chastity Washington,
25,1,Monday Madness Starring WIL E. ROBO,
29,1,Jeff Dye,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1037/original/eve_16_lrg.jpg?1418230263
33,1,Jeffrey Ross,
36,1,Gary Gulman from NBC's Last Comic Standing,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1041/original/eve_29_lrg.jpg?1418230270
34,1,Mark Curry from Hangin' With Mr. Cooper,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1039/original/eve_20_lrg.jpg?1418230267
38,1,NYE with Gary Gulman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1041/original/eve_29_lrg.jpg?1418230270
39,1,Philadelphia Sketch Comedy Compeition,
40,1,Louis Ramey from NBC's Last Comic Standing,
42,1,Eddie Gossling from Tosh.0,
47,1,Craig Robinson from NBC's The Office,
48,1,Lou Moratti,
50,1,Joe DeRosa from HBO and Comedy Central,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1045/original/eve_42_lrg.jpg?1418230276
53,1,Ted Alexandro Comedy Central Presents...,
60,1,Matt Braunger and Kurt Metzger,
59,1,Mitch Fatel The Tonight Show,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1047/original/eve_50_lrg.jpg?1418230280
62,1,Bob Marley from Letterman,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1049/original/eve_53_lrg.jpg?1418230283
64,1,Brian Posehn from The Sarah Silverman Program,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1052/original/eve_54_lrg.jpg?1418230288
69,1,John Heffron from NBC's Last Comic Standing,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1054/original/eve_58_lrg.jpg?1418230291
72,1,Todd Glass from The Sarah Silverman Program,
71,1,Helium Children's Show Starring The Great Holtzie,
76,1,Paul Mooney from Chappelle's Show,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1058/original/eve_62_lrg.jpg?1418230298
74,1,Maz Jobrani,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1056/original/eve_61_lrg.jpg?1418230295
94,1,TEST EVENT,
100,1,Geoff Tate from Comedy Central's Live at  Gotham,
99,1,Tom Papa from NBC's The Marriage Ref,
102,1,National College Comedy Competition - 18+,
104,1,Norm MacDonald,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/1065/original/eve_99_lrg.jpg?1418230310
106,1,Rodney Laney,https://d1uztnrmshzmzd.cloudfront.net/talent/headshots/photos/204/original/eve_206_lrg.jpg?1417531266
107,1,Justin Schlegal,
