id,order_number,ticket_name,ticket_price,printed,promo_code_id,checked_in
99408-799330,99408,$50 Gift Certificate,5000,False,,False
39630-503649,39630,$100 Gift Certificate,10000,False,,False
90659-340216,90659,$50 Gift Certificate,5000,False,,False
113709-249204,113709,$50 Gift Certificate,5000,False,,False
86709-485641,86709,$50 Gift Certificate,5000,False,,False
94781-820189,94781,$50 Gift Certificate,5000,False,,False
62786-059290,62786,$50 Gift Certificate,5000,False,,False
4762-018145,4762,$75 Gift Certificate,7500,False,,False
107776-572716,107776,$50 Gift Certificate,5000,False,,False
86254-909621,86254,Downpayment + Partial Tuition,20000,False,,False
92025-162404,92025,Downpayment,10000,False,,False
154404-281476,154404,Downpayment + Partial Tuition,20000,False,,False
74981-267266,74981,Downpayment,10000,False,,False
75729-449057,75729,Downpayment + Partial Tuition,20000,False,,False
74453-127768,74453,Downpayment,10000,False,,False
91713-890556,91713,Downpayment,10000,False,,False
92056-312103,92056,Payment in Full,30000,False,,False
36891-168649,36891,Downpayment,10000,False,,False
18025-063412,18025,$75 Gift Certificate,7500,False,,False
17974-508502,17974,$100 Gift Certificate,10000,False,,False
27852-829758,27852,$50 Gift Certificate,5000,False,,False
26549-775065,26549,$75 Gift Certificate,7500,False,,False
66044-437013,66044,$25 Gift Certificate,2500,False,,False
71529-367218,71529,$25 Gift Certificate,2500,False,,False
71529-470525,71529,$25 Gift Certificate,2500,False,,False
81286-886576,81286,$25 Gift Certificate,2500,False,,False
81286-496564,81286,$25 Gift Certificate,2500,False,,False
26623-331955,26623,$50 Gift Certificate,5000,False,,False
32453-089062,32453,$50 Gift Certificate,5000,False,,False
18689-631385,18689,$100 Gift Certificate,10000,False,,False
19584-274661,19584,$50 Gift Certificate,5000,False,,False
26523-750021,26523,$50 Gift Certificate,5000,False,,False
34430-449583,34430,$50 Gift Certificate,5000,False,,False
9336-706393,9336,2014 NCFP Registration,2000,False,,False
9640-737455,9640,2014 NCFP Registration,2000,False,,False
99132-682639,99132,2014 NCFP Registration,2000,False,,False
106873-362175,106873,2014 NCFP Registration,2000,False,,False
96570-624152,96570,2014 NCFP Registration,2000,False,,False
101416-215809,101416,2014 NCFP Registration,2000,False,,False
102586-621464,102586,2014 NCFP Registration,2000,False,,False
9295-329432,9295,2014 NCFP Registration,2000,False,,False
100047-004635,100047,2014 NCFP Registration,2000,False,,False
161530-778285,161530,2014 NCFP Registration,2000,False,,False
103485-402995,103485,2014 NCFP Registration,2000,False,,False
97317-087692,97317,2014 NCFP Registration,2000,False,,False
100341-606304,100341,2014 NCFP Registration,2000,False,,False
101683-834407,101683,2014 NCFP Registration,2000,False,,False
102673-255050,102673,2014 NCFP Registration,2000,False,,False
160790-667277,160790,2014 NCFP Registration,2000,False,,False
107814-449249,107814,2014 NCFP Registration,2000,False,,False
102757-442844,102757,2014 NCFP Registration,2000,False,,False
102687-970791,102687,2014 NCFP Registration,2000,False,,False
102609-965808,102609,2014 NCFP Registration,2000,False,,False
98253-506439,98253,2014 NCFP Registration,2000,False,,False
106414-607682,106414,2014 NCFP Registration,2000,False,,False
102204-757748,102204,2014 NCFP Registration,2000,False,,False
106533-339690,106533,2014 NCFP Registration,2000,False,,False
100323-081867,100323,2014 NCFP Registration,2000,False,,False
103089-054283,103089,2014 NCFP Registration,2000,False,,False
101781-776825,101781,2014 NCFP Registration,2000,False,,False
97149-374960,97149,2014 NCFP Registration,2000,False,,False
161096-559308,161096,2014 NCFP Registration,2000,False,,False
161350-180920,161350,2014 NCFP Registration,2000,False,,False
102261-227321,102261,2014 NCFP Registration,2000,False,,False
108388-103028,108388,2014 NCFP Registration,2000,False,,False
97681-420554,97681,2014 NCFP Registration,2000,False,,False
102377-244070,102377,2014 NCFP Registration,2000,False,,False
8919-312876,8919,2014 NCFP Registration,2000,False,,False
103083-819135,103083,2014 NCFP Registration,2000,False,,False
98869-800349,98869,2014 NCFP Registration,2000,False,,False
99352-648351,99352,2014 NCFP Registration,2000,False,,False
9120-266146,9120,2014 NCFP Registration,2000,False,,False
97147-212073,97147,2014 NCFP Registration,2000,False,,False
116346-992902,116346,NC Funniest,2000,False,,False
106726-441301,106726,NC Funniest,2000,False,,False
63529-563380,63529,NC Funniest,2000,False,,False
157307-388481,157307,NC Funniest,2000,False,,False
107037-898521,107037,NC Funniest,2000,False,,False
104305-824892,104305,NC Funniest,2000,False,,False
61735-718577,61735,NC Funniest,2000,False,,False
162725-214970,162725,NC Funniest,2000,False,,False
116773-712219,116773,NC Funniest,2000,False,,False
63369-655509,63369,NC Funniest,2000,False,,False
106576-952032,106576,NC Funniest,2000,False,,False
116165-946713,116165,NC Funniest,2000,False,,False
